Salary,Evaluation,Articles
41.5,5.19,0
82.1,6.77,12
60,6.34,9
57.1,5.76,6
54.2,6.46,3
61.5,6.23,12
63.2,6.38,16
63.2,6.45,0
49.2,7.2,2
75.7,8.16,31
65.6,6.49,3
63.9,6.28,9
57,5.39,3
63.2,8.25,8
82.9,6.53,21
103.3,8.46,42
83.7,9.48,29
59.5,7.01,4
65.7,6.8,11
52.3,6.2,7
70.4,6.01,20
58.1,6.24,5
75,7.99,22
49.9,5.58,1
85,6.93,28
88.4,7.35,22
58.4,5.81,2
83,7.18,16
77.3,7.38,18
50.9,5.74,4
57,6.61,4
45.5,7.4,4
51.1,5.83,1
69.8,6.85,8
60.3,6.63,9
55.3,5.23,5
61.8,5.4,14
50.5,6.52,15
80.1,7.39,34
71.1,7.77,19
59.6,5.06,5
59.2,4.31,1
52,5.83,0
87.2,6.48,23
65.3,5.5,14
49.8,5.13,2
58,6.14,9
74.2,6.88,14
65.7,5.02,9
60,6.05,4
